2026-02-04 18:47:12.946057,Storage Location 1,MISSING
2026-02-04 18:49:18.761423,Storage Location 1,MISSING
2026-02-04 18:49:23.357705,Storage Location 1,MISSING
2026-02-04 18:49:37.868734,Storage Location 1,MISSING
2026-02-04 18:49:42.107902,Storage Location 1,MISSING
2026-02-04 18:49:42.913526,Storage Location 1,MISSING
2026-02-04 18:49:43.863572,Storage Location 1,MISSING
2026-02-04 18:49:43.977808,Storage Location 1,MISSING
2026-02-04 18:49:45.436000,Storage Location 1,MISSING
2026-02-04 18:49:45.899749,Storage Location 1,MISSING
2026-02-04 18:49:48.364454,Storage Location 1,MISSING
2026-02-04 18:49:50.543205,Storage Location 1,MISSING
2026-02-04 18:49:54.985111,Storage Location 1,MISSING
2026-02-04 18:50:03.880918,Storage Location 1,MISSING
2026-02-04 18:50:04.840898,Storage Location 1,MISSING
2026-02-04 18:50:18.477888,Storage Location 1,MISSING
2026-02-04 18:50:19.134049,Storage Location 1,MISSING
2026-02-04 18:50:19.790776,Storage Location 1,MISSING
2026-02-04 18:50:21.053248,Storage Location 1,MISSING
2026-02-04 18:50:21.308321,Storage Location 1,MISSING
2026-02-04 18:50:24.041484,Storage Location 1,MISSING
2026-02-04 18:50:24.847541,Storage Location 1,MISSING
2026-02-04 18:50:41.960516,Storage Location 1,MISSING
2026-02-04 18:50:42.118694,Storage Location 1,MISSING
2026-02-04 18:50:42.776411,Storage Location 1,MISSING
2026-02-04 18:50:43.224131,Storage Location 1,MISSING
2026-02-04 18:50:43.480524,Storage Location 1,MISSING
2026-02-04 18:50:44.085287,Storage Location 1,MISSING
2026-02-04 18:50:44.794402,Storage Location 1,MISSING
2026-02-04 18:50:45.053674,Storage Location 1,MISSING
2026-02-04 18:50:45.559892,Storage Location 1,MISSING
2026-02-04 18:50:46.008384,Storage Location 1,MISSING
2026-02-04 18:50:46.264559,Storage Location 1,MISSING
2026-02-04 18:50:46.712563,Storage Location 1,MISSING
2026-02-04 18:50:47.323285,Storage Location 1,MISSING
